wine_name,vintage,region,predict_score,target_score,predict_price,target_price
"Chateau Latour Premier Cru Classe, Pauillac",2023,Pauillac,95.69,-,735.64,-
"Chateau Latour Premier Cru Classe, Pauillac",2022,Pauillac,95.66,98,733.22,-
"Chateau Latour Premier Cru Classe, Pauillac",2021,Pauillac,95.63,96,730.81,-
"Chateau Latour Premier Cru Classe, Pauillac",2020,Pauillac,95.6,97,728.39,-
"Chateau Latour Premier Cru Classe, Pauillac",2019,Pauillac,95.57,98,725.98,-
"Chateau Latour Premier Cru Classe, Pauillac",2018,Pauillac,95.54,98,723.56,92
"Chateau Latour Premier Cru Classe, Pauillac",2017,Pauillac,95.51,96,721.15,75
"Chateau Latour Premier Cru Classe, Pauillac",2016,Pauillac,95.48,98,718.73,231
"Chateau Latour Premier Cru Classe, Pauillac",2015,Pauillac,95.45,96,716.32,761
"Chateau Latour Premier Cru Classe, Pauillac",2014,Pauillac,95.41,96,713.9,674
"Chateau Latour Premier Cru Classe, Pauillac",2013,Pauillac,95.38,93,711.49,610
"Chateau Latour Premier Cru Classe, Pauillac",2012,Pauillac,95.35,94,709.07,645
"Chateau Latour Premier Cru Classe, Pauillac",2011,Pauillac,95.32,94,706.66,729
"Chateau Latour Premier Cru Classe, Pauillac",2010,Pauillac,95.29,98,704.24,1496
"Chateau Latour Premier Cru Classe, Pauillac",2009,Pauillac,95.26,97,701.83,1406
"Chateau Latour Premier Cru Classe, Pauillac",2008,Pauillac,95.23,95,699.41,640
"Chateau Latour Premier Cru Classe, Pauillac",2007,Pauillac,95.2,92,697.0,604
"Chateau Latour Premier Cru Classe, Pauillac",2006,Pauillac,95.17,94,694.58,760
"Chateau Latour Premier Cru Classe, Pauillac",2005,Pauillac,95.14,97,692.16,1082
"Chateau Latour Premier Cru Classe, Pauillac",2004,Pauillac,95.11,95,689.75,593
"Chateau Latour Premier Cru Classe, Pauillac",2003,Pauillac,95.08,97,687.33,1005
"Chateau Latour Premier Cru Classe, Pauillac",2002,Pauillac,95.05,95,684.92,656
"Chateau Latour Premier Cru Classe, Pauillac",2001,Pauillac,95.02,94,682.5,689
"Chateau Latour Premier Cru Classe, Pauillac",2000,Pauillac,94.99,96,680.09,1338
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2023,Pauillac,95.32,-,868.25,-
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2022,Pauillac,95.29,98,865.84,763
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2021,Pauillac,95.26,96,863.42,673
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2020,Pauillac,95.23,97,861.01,815
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2019,Pauillac,95.2,97,858.59,956
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2018,Pauillac,95.17,98,856.18,1133
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2017,Pauillac,95.14,95,853.76,831
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2016,Pauillac,95.11,97,851.35,1021
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2015,Pauillac,95.08,96,848.93,1059
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2014,Pauillac,95.05,95,846.52,829
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2013,Pauillac,95.02,92,844.1,774
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2012,Pauillac,94.99,93,841.69,819
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2011,Pauillac,94.96,94,839.27,793
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2010,Pauillac,94.93,97,836.85,1300
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2009,Pauillac,94.9,96,834.44,1199
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2008,Pauillac,94.87,94,832.02,980
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2007,Pauillac,94.84,93,829.61,876
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2006,Pauillac,94.81,95,827.19,867
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2005,Pauillac,94.78,96,824.78,1199
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2004,Pauillac,94.75,95,822.36,898
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2003,Pauillac,94.72,95,819.95,1160
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2002,Pauillac,94.69,93,817.53,827
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2001,Pauillac,94.66,94,815.12,893
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2000,Pauillac,94.62,97,812.7,1727
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2023,Pauillac,92.29,-,244.65,-
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2022,Pauillac,92.26,95,242.22,79
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2021,Pauillac,92.23,92,239.79,70
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2020,Pauillac,92.2,94,237.37,85
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2019,Pauillac,92.17,95,234.94,90
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2018,Pauillac,92.14,93,232.51,92
